a,b,chi,p
importer,quoter,117.12677626701453,2.692921885847834e-27
quoter,subsetter,0.09555737269370886,0.7572275412577217
subsetter,importer,236.02061916422804,2.9001325959592726e-53
imported,quoted,2.2274207480640897,0.1355800092464957
quoted,subsetted,7.245150870865198,0.007109274069456578
subsetted,imported,0.01157539756570796,0.914321705943476
